bin_id,timestamp,fill_level,latitude,longitude,datetime,time_diff_hours,fill_diff,fill_rate,fill_rate_rolling_mean,fill_rate_rolling_std,hour,weekday,is_weekend,time_to_full_hours
bin_001,1763153638,27.22,33.347817501704895,44.39103920700303,2025-11-14 20:53:58,1.0,0.6900000000000013,0.0,0.0,0.0,20,4,0,168.0
bin_001,1763157238,27.91,33.347817501704895,44.39103920700303,2025-11-14 21:53:58,1.0,0.6900000000000013,0.6900000000000013,0.34500000000000064,0.4879036790187187,21,4,0,104.47826086956503
bin_001,1763160838,28.54,33.347817501704895,44.39103920700303,2025-11-14 22:53:58,1.0,0.629999999999999,0.629999999999999,0.4400000000000001,0.38223029707232803,22,4,0,113.42857142857162
bin_001,1763164438,29.3,33.347817501704895,44.39103920700303,2025-11-14 23:53:58,1.0,0.7600000000000016,0.7600000000000016,0.6933333333333339,0.06506407098647816,23,4,0,93.0263157894735
bin_001,1763168038,29.65,33.347817501704895,44.39103920700303,2025-11-15 00:53:58,1.0,0.34999999999999787,0.34999999999999787,0.5799999999999995,0.2095232683975713,0,5,1,168.0
bin_001,1763171638,30.45,33.347817501704895,44.39103920700303,2025-11-15 01:53:58,1.0,0.8000000000000007,0.8000000000000007,0.6366666666666667,0.24906491790963703,1,5,1,86.93749999999991
bin_001,1763175238,30.99,33.347817501704895,44.39103920700303,2025-11-15 02:53:58,1.0,0.5399999999999991,0.5399999999999991,0.5633333333333326,0.2259055849981004,2,5,1,127.7962962962965
bin_001,1763178838,32.87,33.347817501704895,44.39103920700303,2025-11-15 03:53:58,1.0,1.879999999999999,1.879999999999999,1.073333333333333,0.7105866121264408,3,5,1,35.70744680851065
bin_001,1763182438,34.78,33.347817501704895,44.39103920700303,2025-11-15 04:53:58,1.0,1.9100000000000037,1.9100000000000037,1.443333333333334,0.7824534064935339,4,5,1,34.146596858638674
bin_001,1763186038,36.41,33.347817501704895,44.39103920700303,2025-11-15 05:53:58,1.0,1.6299999999999955,1.6299999999999955,1.806666666666666,0.15373136743467286,5,5,1,39.01226993865042
bin_001,1763189638,37.89,33.347817501704895,44.39103920700303,2025-11-15 06:53:58,1.0,1.480000000000004,1.480000000000004,1.6733333333333344,0.21825062046494528,6,5,1,41.966216216216104
bin_001,1763193238,39.12,33.347817501704895,44.39103920700303,2025-11-15 07:53:58,1.0,1.2299999999999969,1.2299999999999969,1.4466666666666654,0.2020725942163689,7,5,1,49.49593495934972
bin_001,1763196838,41.46,33.347817501704895,44.39103920700303,2025-11-15 08:53:58,1.0,2.3400000000000034,2.3400000000000034,1.6833333333333347,0.5822656896411949,8,5,1,25.01709401709398
bin_001,1763200438,43.41,33.347817501704895,44.39103920700303,2025-11-15 09:53:58,1.0,1.9499999999999957,1.9499999999999957,1.8399999999999987,0.5631163290120463,9,5,1,29.020512820512884
